reviewid,genre
21013,pop/r&b
21148,electronic
21149,rock
21041,electronic
21202,rap
21199,rap
21150,electronic
21054,metal
21194,rock
21088,electronic
21018,electronic
21032,rock
21052,metal
21039,rock
21083,rock
21186,metal
20979,rock
21113,rap
21086,rock
21085,electronic
21114,experimental
21051,electronic
21185,rock
21137,rock
21038,rap
21138,rock
21095,electronic
21080,rap
20432,pop/r&b
20966,rock
21105,jazz
20965,rock
21020,electronic
21060,pop/r&b
21115,rock
21028,rock
21082,electronic
21078,electronic
21042,rock
21044,electronic
21029,rock
21079,rock
21050,electronic
21145,rap
21140,rock
21122,
21019,rock
21048,pop/r&b
21022,metal
21166,rap
21066,rock
21094,rap
20975,rock
21043,rap
21107,rap
21077,experimental
20914,rock
21065,rock
21035,rock
20950,electronic
20995,rock
21068,electronic
20854,experimental
21104,pop/r&b
20893,rap
21037,rock
21129,electronic
21049,pop/r&b
21034,electronic
21101,rock
21030,
20998,rap
21076,rap
21099,rap
21075,rap
21009,
21059,electronic
21069,pop/r&b
21069,electronic
21102,rap
20978,pop/r&b
21014,experimental
20892,rock
21073,rock
20840,rock
21036,rock
20949,rock
21072,pop/r&b
21031,electronic
21033,pop/r&b
21064,rock
20987,experimental
21084,electronic
20954,rap
20825,electronic
20960,
21074,pop/r&b
21046,folk/country
20994,rock
21047,rock
20890,rap
21015,electronic
21024,rock
21027,jazz
21016,rap
21067,electronic
21002,experimental
21008,rock
21007,experimental
20913,rock
21058,rock
21006,rock
20880,electronic
21011,rock
20982,rock
20878,electronic
20912,rock
20977,pop/r&b
20930,folk/country
21025,rap
20989,pop/r&b
20964,rock
20829,rock
21063,rock
21026,rock
21026,pop/r&b
21001,metal
21012,pop/r&b
20837,rock
21005,electronic
21003,rock
20962,rock
21004,rock
20957,rock
20974,rock
20976,pop/r&b
20946,rock
20993,rock
20953,electronic
20924,rap
20881,rock
20891,rock
20986,rock
20992,rock
20931,experimental
21023,pop/r&b
20991,electronic
20973,rock
20932,rap
20944,rock
20706,rock
21000,rap
20961,rock
20877,rock
20874,electronic
20999,pop/r&b
20971,rock
20968,electronic
20834,metal
20951,pop/r&b
20943,pop/r&b
20981,rock
20972,rock
20938,
20875,electronic
20970,rock
20876,rock
20967,pop/r&b
20959,experimental
20833,metal
20922,rap
20899,
20759,rock
20790,metal
20969,rock
20939,rock
20940,rock
20920,folk/country
20945,electronic
20803,experimental
20985,pop/r&b
20985,electronic
20926,rap
20897,rock
20865,folk/country
20988,rock
20691,rock
20746,rock
20844,rap
20889,rock
20909,experimental
20898,pop/r&b
20941,rap
20869,rock
20937,rock
20873,electronic
20872,electronic
20870,electronic
20915,rap
20917,rock
20887,rap
20925,rap
20905,rap
20905,pop/r&b
20933,rock
20923,rock
20705,folk/country
20747,rock
20871,experimental
20927,rock
20918,rock
20686,electronic
20935,rap
20896,rap
20908,folk/country
20894,rock
20936,electronic
20955,rap
20767,pop/r&b
20895,electronic
20907,metal
20883,rock
20866,rock
20839,experimental
20906,rock
20852,electronic
20919,rap
20902,pop/r&b
20904,metal
20867,rock
20886,rock
20868,electronic
20901,rap
20819,rock
20884,rap
20740,rock
20853,rock
20862,rock
20781,rock
20863,rock
20882,rap
20788,metal
20861,rock
20830,global
20864,rock
20842,rock
20793,experimental
20843,rap
20701,rock
20777,
20804,rock
20716,folk/country
20835,rock
20807,rap
20848,pop/r&b
20849,electronic
20860,electronic
20847,rock
20900,experimental
20802,experimental
20814,experimental
20836,rock
20668,rock
20797,electronic
20855,pop/r&b
20850,rock
20820,rock
20702,rock
20846,rap
20714,metal
20827,rap
20832,electronic
20816,jazz
20824,electronic
20765,pop/r&b
20738,electronic
20821,folk/country
20838,rock
20817,rap
20757,electronic
20811,experimental
20822,rock
20810,rap
20724,metal
20805,rock
20801,rock
20806,rock
20812,rock
20766,rock
20813,rock
20794,rock
20792,rock
20799,rock
20818,rock
20800,experimental
20798,rock
20809,pop/r&b
20749,electronic
20831,electronic
20776,electronic
20756,electronic
20745,rap
20721,electronic
20667,rock
20697,folk/country
20826,experimental
20775,rock
20648,rock
20774,rap
20718,rock
20795,rap
20808,electronic
20578,rock
20786,rock
20787,jazz
20772,rap
20736,rock
20743,electronic
20770,rock
20653,rock
20712,rock
20754,jazz
20753,
20796,rap
20783,pop/r&b
20761,rock
20735,rock
20791,electronic
20779,electronic
20762,rap
20751,rap
20707,rock
20722,rap
20782,electronic
20731,rock
20773,rock
20755,electronic
20729,electronic
20778,rap
20752,electronic
20742,rock
20710,rock
20728,pop/r&b
20769,electronic
20734,pop/r&b
20780,rap
20692,rock
20643,rock
20709,electronic
20680,rock
20768,rap
20750,rap
20719,rap
20647,rock
20733,rap
20723,experimental
20608,metal
20760,electronic
20690,rap
20741,electronic
20443,rock
20443,pop/r&b
20443,electronic
20689,rock
20726,rock
20484,rock
20574,rap
20660,rock
20652,jazz
20652,experimental
20725,pop/r&b
20679,folk/country
20682,folk/country
20688,rock
20715,rock
20511,rock
20687,rap
20717,pop/r&b
20711,rock
20662,global
20720,rock
20748,experimental
20646,electronic
20678,pop/r&b
20685,electronic
20483,rock
20671,experimental
20666,rock
20695,electronic
20632,folk/country
20703,pop/r&b
20694,electronic
20699,metal
20573,jazz
20698,experimental
20607,metal
20696,
20623,rock
20676,electronic
20730,pop/r&b
20677,electronic
20651,metal
20673,rock
20601,metal
20700,pop/r&b
20675,electronic
20552,metal
20645,rock
20644,pop/r&b
20642,electronic
20665,rock
20650,electronic
20670,rap
20625,electronic
20641,pop/r&b
20576,rock
20683,rock
20674,electronic
20577,rock
20672,experimental
20693,folk/country
20606,rock
20599,rock
20669,pop/r&b
20291,
20638,experimental
20520,rock
20631,rock
20655,
20654,rock
20568,experimental
20639,rock
20640,electronic
20600,electronic
20637,pop/r&b
20664,rap
20664,pop/r&b
20465,rock
20598,metal
20657,rock
20636,electronic
20663,rock
20658,rock
20619,metal
20635,pop/r&b
20565,folk/country
